date,description,counterparty,debit,credit,balance,sourceAccount
2026-01-14,nip transfer commission 2900214 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,27074488,0234567890
2026-01-15,nip transfer commission 2900215 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,27074438,0234567890
2026-01-16,nip transfer commission 2900216 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,27074388,0234567890
2026-01-17,nip transfer commission 2900217 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,27074338,0234567890
2026-01-18,nip transfer commission 2900218 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,27074288,0234567890
2026-01-19,nip transfer commission 2900219 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,27074238,0234567890
2026-01-20,nip transfer commission 29002110 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,27074188,0234567890
2026-01-21,nip transfer commission 29002111 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,27074138,0234567890
2026-01-22,nip transfer commission 29002112 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,27074088,0234567890
2026-01-23,nip transfer commission 29002113 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,27074038,0234567890
2026-01-24,nip transfer commission 29002114 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,27073988,0234567890
2026-01-26,point of sale purchase transaction Web@<00000001> <dnh*godaddy 480-505-8855 us> <0052311412> <199553/169445>,,42402,,27031586,0234567890
2026-01-27,sms alert charge for 01/2026,,200,,27031386,0234567890
2026-01-28,account maintenance fee 01/2026,,1761,,27029625,0234567890
2026-01-28,value added tax from corporate branch,,132,,27029493,0234567890
2026-01-29,outward transfer (n) 881 to first bank | bigco logistics services /000023,,1200000,,25829493,0234567890
2026-02-03,inward transfer (n) 49622 from zenith/ sky capital and financial allied in-skypay maintenance fee for 2026_2/000015260409115119000002024421,,,23575000,49404493,0234567890
2026-02-06,outward transfer (n) 1512221 to access bank nigeria ltd | nnamdi chinedu okeke /000023260410205638002208531512221,,500000,,48904493,0234567890
2026-02-06,nip transfer commission 1512221 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,48904443,0234567890
2026-02-06,stamp duty 1512221 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,48904393,0234567890
2026-02-06,vat on nip transfer fee 1512221 to guaranty trust bank plc,,4,,48904389,0234567890
2026-02-07,outward transfer (n) 1512222 to access bank nigeria ltd | nnamdi chinedu okeke /000023260410205638002208531512222,,500000,,48404389,0234567890
2026-02-07,nip transfer commission 1512222 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,48404339,0234567890
2026-02-07,stamp duty 1512222 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,48404289,0234567890
2026-02-07,vat on nip transfer fee 1512222 to guaranty trust bank plc,,4,,48404285,0234567890
2026-02-08,outward transfer (n) 1512223 to access bank nigeria ltd | nnamdi chinedu okeke /000023260410205638002208531512223,,500000,,47904285,0234567890
2026-02-08,nip transfer commission 1512223 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,47904235,0234567890
2026-02-08,stamp duty 1512223 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,47904185,0234567890
2026-02-08,vat on nip transfer fee 1512223 to guaranty trust bank plc,,4,,47904181,0234567890
2026-02-11,nip transfer commission 2900221 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,47904131,0234567890
2026-02-12,nip transfer commission 2900222 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,47904081,0234567890
2026-02-13,nip transfer commission 2900223 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,47904031,0234567890
2026-02-14,nip transfer commission 2900224 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,47903981,0234567890
2026-02-15,nip transfer commission 2900225 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,47903931,0234567890
2026-02-16,nip transfer commission 2900226 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,47903881,0234567890
2026-02-17,nip transfer commission 2900227 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,47903831,0234567890
2026-02-18,nip transfer commission 2900228 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,47903781,0234567890
2026-02-19,nip transfer commission 2900229 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,47903731,0234567890
2026-02-20,nip transfer commission 29002210 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,47903681,0234567890
2026-02-21,nip transfer commission 29002211 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,47903631,0234567890
2026-02-22,nip transfer commission 29002212 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,47903581,0234567890
2026-02-23,nip transfer commission 29002213 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,47903531,0234567890
2026-02-24,nip transfer commission 29002214 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,47903481,0234567890
2026-02-26,point of sale purchase transaction Web@<00000001> <dnh*godaddy 480-505-8855 us> <0052311412> <199553/169445>,,42402,,47861079,0234567890
2026-02-27,sms alert charge for 02/2026,,200,,47860879,0234567890
2026-02-28,account maintenance fee 02/2026,,1761,,47859118,0234567890
2026-02-28,value added tax from corporate branch,,132,,47858986,0234567890
2026-02-29,outward transfer (n) 882 to first bank | bigco logistics services /000023,,1200000,,46658986,0234567890
2026-03-03,inward transfer (n) 49623 from zenith/ sky capital and financial allied in-skypay maintenance fee for 2026_3/000015260409115119000002024421,,,23575000,70233986,0234567890
2026-03-06,outward transfer (n) 1512231 to access bank nigeria ltd | nnamdi chinedu okeke /000023260410205638002208531512231,,500000,,69733986,0234567890
2026-03-06,nip transfer commission 1512231 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,69733936,0234567890
2026-03-06,stamp duty 1512231 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,69733886,0234567890
2026-03-06,vat on nip transfer fee 1512231 to guaranty trust bank plc,,4,,69733882,0234567890
2026-03-07,outward transfer (n) 1512232 to access bank nigeria ltd | nnamdi chinedu okeke /000023260410205638002208531512232,,500000,,69233882,0234567890
2026-03-07,nip transfer commission 1512232 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,69233832,0234567890
2026-03-07,stamp duty 1512232 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,69233782,0234567890
2026-03-07,vat on nip transfer fee 1512232 to guaranty trust bank plc,,4,,69233778,0234567890
2026-03-08,outward transfer (n) 1512233 to access bank nigeria ltd | nnamdi chinedu okeke /000023260410205638002208531512233,,500000,,68733778,0234567890
2026-03-08,nip transfer commission 1512233 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,68733728,0234567890
2026-03-08,stamp duty 1512233 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,68733678,0234567890
2026-03-08,vat on nip transfer fee 1512233 to guaranty trust bank plc,,4,,68733674,0234567890
2026-03-11,nip transfer commission 2900231 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,68733624,0234567890
2026-03-12,nip transfer commission 2900232 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,68733574,0234567890
2026-03-13,nip transfer commission 2900233 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,68733524,0234567890
2026-03-14,nip transfer commission 2900234 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,68733474,0234567890
2026-03-15,nip transfer commission 2900235 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,68733424,0234567890
2026-03-16,nip transfer commission 2900236 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,68733374,0234567890
2026-03-17,nip transfer commission 2900237 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,68733324,0234567890
2026-03-18,nip transfer commission 2900238 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,68733274,0234567890
2026-03-19,nip transfer commission 2900239 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,68733224,0234567890
2026-03-20,nip transfer commission 29002310 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,68733174,0234567890
2026-03-21,nip transfer commission 29002311 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,68733124,0234567890
2026-03-22,nip transfer commission 29002312 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,68733074,0234567890
2026-03-23,nip transfer commission 29002313 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,68733024,0234567890
2026-03-24,nip transfer commission 29002314 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,68732974,0234567890
2026-03-26,point of sale purchase transaction Web@<00000001> <dnh*godaddy 480-505-8855 us> <0052311412> <199553/169445>,,42402,,68690572,0234567890
2026-03-27,sms alert charge for 03/2026,,200,,68690372,0234567890
2026-03-28,account maintenance fee 03/2026,,1761,,68688611,0234567890
2026-03-28,value added tax from corporate branch,,132,,68688479,0234567890
2026-03-29,outward transfer (n) 883 to first bank | bigco logistics services /000023,,1200000,,67488479,0234567890
2026-04-03,inward transfer (n) 49624 from zenith/ sky capital and financial allied in-skypay maintenance fee for 2026_4/000015260409115119000002024421,,,23575000,91063479,0234567890
2026-04-06,outward transfer (n) 1512241 to access bank nigeria ltd | nnamdi chinedu okeke /000023260410205638002208531512241,,500000,,90563479,0234567890
2026-04-06,nip transfer commission 1512241 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,90563429,0234567890
2026-04-06,stamp duty 1512241 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,90563379,0234567890
2026-04-06,vat on nip transfer fee 1512241 to guaranty trust bank plc,,4,,90563375,0234567890
2026-04-07,outward transfer (n) 1512242 to access bank nigeria ltd | nnamdi chinedu okeke /000023260410205638002208531512242,,500000,,90063375,0234567890
2026-04-07,nip transfer commission 1512242 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,90063325,0234567890
2026-04-07,stamp duty 1512242 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,90063275,0234567890
2026-04-07,vat on nip transfer fee 1512242 to guaranty trust bank plc,,4,,90063271,0234567890
2026-04-08,outward transfer (n) 1512243 to access bank nigeria ltd | nnamdi chinedu okeke /000023260410205638002208531512243,,500000,,89563271,0234567890
2026-04-08,nip transfer commission 1512243 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,89563221,0234567890
2026-04-08,stamp duty 1512243 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,89563171,0234567890
2026-04-08,vat on nip transfer fee 1512243 to guaranty trust bank plc,,4,,89563167,0234567890
2026-04-11,nip transfer commission 2900241 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,89563117,0234567890
2026-04-12,nip transfer commission 2900242 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,89563067,0234567890
2026-04-13,nip transfer commission 2900243 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,89563017,0234567890
2026-04-14,nip transfer commission 2900244 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,89562967,0234567890
2026-04-15,nip transfer commission 2900245 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,89562917,0234567890
2026-04-16,nip transfer commission 2900246 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,89562867,0234567890
2026-04-17,nip transfer commission 2900247 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,89562817,0234567890
2026-04-18,nip transfer commission 2900248 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,89562767,0234567890
2026-04-19,nip transfer commission 2900249 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,89562717,0234567890
2026-04-20,nip transfer commission 29002410 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,89562667,0234567890
2026-04-21,nip transfer commission 29002411 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,89562617,0234567890
2026-04-22,nip transfer commission 29002412 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,89562567,0234567890
2026-04-23,nip transfer commission 29002413 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,89562517,0234567890
2026-04-24,nip transfer commission 29002414 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,89562467,0234567890
2026-04-26,point of sale purchase transaction Web@<00000001> <dnh*godaddy 480-505-8855 us> <0052311412> <199553/169445>,,42402,,89520065,0234567890
2026-04-27,sms alert charge for 04/2026,,200,,89519865,0234567890
2026-04-28,account maintenance fee 04/2026,,1761,,89518104,0234567890
2026-04-28,value added tax from corporate branch,,132,,89517972,0234567890
2026-04-29,outward transfer (n) 884 to first bank | bigco logistics services /000023,,1200000,,88317972,0234567890
2026-05-03,inward transfer (n) 49625 from zenith/ sky capital and financial allied in-skypay maintenance fee for 2026_5/000015260409115119000002024421,,,23575000,111892972,0234567890
2026-05-06,outward transfer (n) 1512251 to access bank nigeria ltd | nnamdi chinedu okeke /000023260410205638002208531512251,,500000,,111392972,0234567890
2026-05-06,nip transfer commission 1512251 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,111392922,0234567890
2026-05-06,stamp duty 1512251 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,111392872,0234567890
2026-05-06,vat on nip transfer fee 1512251 to guaranty trust bank plc,,4,,111392868,0234567890
2026-05-07,outward transfer (n) 1512252 to access bank nigeria ltd | nnamdi chinedu okeke /000023260410205638002208531512252,,500000,,110892868,0234567890
2026-05-07,nip transfer commission 1512252 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,110892818,0234567890
2026-05-07,stamp duty 1512252 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,110892768,0234567890
2026-05-07,vat on nip transfer fee 1512252 to guaranty trust bank plc,,4,,110892764,0234567890
2026-05-08,outward transfer (n) 1512253 to access bank nigeria ltd | nnamdi chinedu okeke /000023260410205638002208531512253,,500000,,110392764,0234567890
2026-05-08,nip transfer commission 1512253 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,110392714,0234567890
2026-05-08,stamp duty 1512253 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,110392664,0234567890
2026-05-08,vat on nip transfer fee 1512253 to guaranty trust bank plc,,4,,110392660,0234567890
2026-05-11,nip transfer commission 2900251 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,110392610,0234567890
2026-05-12,nip transfer commission 2900252 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,110392560,0234567890
2026-05-13,nip transfer commission 2900253 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,110392510,0234567890
2026-05-14,nip transfer commission 2900254 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,110392460,0234567890
2026-05-15,nip transfer commission 2900255 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,110392410,0234567890
2026-05-16,nip transfer commission 2900256 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,110392360,0234567890
2026-05-17,nip transfer commission 2900257 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,110392310,0234567890
2026-05-18,nip transfer commission 2900258 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,110392260,0234567890
2026-05-19,nip transfer commission 2900259 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,110392210,0234567890
2026-05-20,nip transfer commission 29002510 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,110392160,0234567890
2026-05-21,nip transfer commission 29002511 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,110392110,0234567890
2026-05-22,nip transfer commission 29002512 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,110392060,0234567890
2026-05-23,nip transfer commission 29002513 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,110392010,0234567890
2026-05-24,nip transfer commission 29002514 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,110391960,0234567890
2026-05-26,point of sale purchase transaction Web@<00000001> <dnh*godaddy 480-505-8855 us> <0052311412> <199553/169445>,,42402,,110349558,0234567890
2026-05-27,sms alert charge for 05/2026,,200,,110349358,0234567890
2026-05-28,account maintenance fee 05/2026,,1761,,110347597,0234567890
2026-05-28,value added tax from corporate branch,,132,,110347465,0234567890
2026-05-29,outward transfer (n) 885 to first bank | bigco logistics services /000023,,1200000,,109147465,0234567890
2026-06-03,inward transfer (n) 49626 from zenith/ sky capital and financial allied in-skypay maintenance fee for 2026_6/000015260409115119000002024421,,,23575000,132722465,0234567890
2026-06-06,outward transfer (n) 1512261 to access bank nigeria ltd | nnamdi chinedu okeke /000023260410205638002208531512261,,500000,,132222465,0234567890
2026-06-06,nip transfer commission 1512261 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,132222415,0234567890
2026-06-06,stamp duty 1512261 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,132222365,0234567890
2026-06-06,vat on nip transfer fee 1512261 to guaranty trust bank plc,,4,,132222361,0234567890
2026-06-07,outward transfer (n) 1512262 to access bank nigeria ltd | nnamdi chinedu okeke /000023260410205638002208531512262,,500000,,131722361,0234567890
2026-06-07,nip transfer commission 1512262 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,131722311,0234567890
2026-06-07,stamp duty 1512262 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,131722261,0234567890
2026-06-07,vat on nip transfer fee 1512262 to guaranty trust bank plc,,4,,131722257,0234567890
2026-06-08,outward transfer (n) 1512263 to access bank nigeria ltd | nnamdi chinedu okeke /000023260410205638002208531512263,,500000,,131222257,0234567890
2026-06-08,nip transfer commission 1512263 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,131222207,0234567890
2026-06-08,stamp duty 1512263 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,131222157,0234567890
2026-06-08,vat on nip transfer fee 1512263 to guaranty trust bank plc,,4,,131222153,0234567890
2026-06-11,nip transfer commission 2900261 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,131222103,0234567890
2026-06-12,nip transfer commission 2900262 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,131222053,0234567890
2026-06-13,nip transfer commission 2900263 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,131222003,0234567890
2026-06-14,nip transfer commission 2900264 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,131221953,0234567890
2026-06-15,nip transfer commission 2900265 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,131221903,0234567890
2026-06-16,nip transfer commission 2900266 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,131221853,0234567890
2026-06-17,nip transfer commission 2900267 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,131221803,0234567890
2026-06-18,nip transfer commission 2900268 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,131221753,0234567890
2026-06-19,nip transfer commission 2900269 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,131221703,0234567890
2026-06-20,nip transfer commission 29002610 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,131221653,0234567890
2026-06-21,nip transfer commission 29002611 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,131221603,0234567890
2026-06-22,nip transfer commission 29002612 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,131221553,0234567890
2026-06-23,nip transfer commission 29002613 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,131221503,0234567890
2026-06-24,nip transfer commission 29002614 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,131221453,0234567890
2026-06-26,point of sale purchase transaction Web@<00000001> <dnh*godaddy 480-505-8855 us> <0052311412> <199553/169445>,,42402,,131179051,0234567890
2026-06-27,sms alert charge for 06/2026,,200,,131178851,0234567890
2026-06-28,account maintenance fee 06/2026,,1761,,131177090,0234567890
2026-06-28,value added tax from corporate branch,,132,,131176958,0234567890
2026-06-29,outward transfer (n) 886 to first bank | bigco logistics services /000023,,1200000,,129976958,0234567890
2026-07-03,inward transfer (n) 49627 from zenith/ sky capital and financial allied in-skypay maintenance fee for 2026_7/000015260409115119000002024421,,,23575000,153551958,0234567890
2026-07-06,outward transfer (n) 1512271 to access bank nigeria ltd | nnamdi chinedu okeke /000023260410205638002208531512271,,500000,,153051958,0234567890
2026-07-06,nip transfer commission 1512271 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,153051908,0234567890
2026-07-06,stamp duty 1512271 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,153051858,0234567890
2026-07-06,vat on nip transfer fee 1512271 to guaranty trust bank plc,,4,,153051854,0234567890
2026-07-07,outward transfer (n) 1512272 to access bank nigeria ltd | nnamdi chinedu okeke /000023260410205638002208531512272,,500000,,152551854,0234567890
2026-07-07,nip transfer commission 1512272 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,152551804,0234567890
2026-07-07,stamp duty 1512272 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,152551754,0234567890
2026-07-07,vat on nip transfer fee 1512272 to guaranty trust bank plc,,4,,152551750,0234567890
2026-07-08,outward transfer (n) 1512273 to access bank nigeria ltd | nnamdi chinedu okeke /000023260410205638002208531512273,,500000,,152051750,0234567890
2026-07-08,nip transfer commission 1512273 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,152051700,0234567890
2026-07-08,stamp duty 1512273 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,152051650,0234567890
2026-07-08,vat on nip transfer fee 1512273 to guaranty trust bank plc,,4,,152051646,0234567890
2026-07-11,nip transfer commission 2900271 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,152051596,0234567890
2026-07-12,nip transfer commission 2900272 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,152051546,0234567890
2026-07-13,nip transfer commission 2900273 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,152051496,0234567890
2026-07-14,nip transfer commission 2900274 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,152051446,0234567890
2026-07-15,nip transfer commission 2900275 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,152051396,0234567890
2026-07-16,nip transfer commission 2900276 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,152051346,0234567890
2026-07-17,nip transfer commission 2900277 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,152051296,0234567890
2026-07-18,nip transfer commission 2900278 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,152051246,0234567890
2026-07-19,nip transfer commission 2900279 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,152051196,0234567890
2026-07-20,nip transfer commission 29002710 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,152051146,0234567890
2026-07-21,nip transfer commission 29002711 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,152051096,0234567890
2026-07-22,nip transfer commission 29002712 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,152051046,0234567890
2026-07-23,nip transfer commission 29002713 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,152050996,0234567890
2026-07-24,nip transfer commission 29002714 to guaranty trust bank plc | okeke nnamdi chinedu /000023260406104221002207694444,,50,,152050946,0234567890
2026-07-26,point of sale purchase transaction Web@<00000001> <dnh*godaddy 480-505-8855 us> <0052311412> <199553/169445>,,42402,,152008544,0234567890
2026-07-27,sms alert charge for 07/2026,,200,,152008344,0234567890
